# Odour vocabulary harvested from 2588 patents.
# Method: words immediately preceding an odour head noun, minus a generic
#         English/patent stop list. Corpus-derived, NOT hand-supplied.
# 7351 distinct terms; 592 occur >=30 times.
# class: D descriptor · H hedonic · T tier · M malodour · X noise · (empty = unjudged)
# Classes for terms seen in hand-run 04 are carried over. New terms are BLANK
# on purpose — judging them is human work.
#
# term	n	class
odor	2630	
pleasant	1811	H
floral	1805	D
fruity	1367	D
green	1214	D
unpleasant	1202	H
woody	1183	D
top	1172	T
olfactory	982	X
note	968	
fresh	947	D
aroma	906	
natural	851	
sweet	793	D
base	749	T
scent	703	
musk	636	D
body	621	X
citrus	578	D
olfactive	565	X
desired	552	
middle	495	T
overall	484	X
taste	455	
modify	434	
detergent	394	
herbal	383	
muguet	369	D
way	368	X
spicy	366	D
rose	365	
valley	353	
odour	346	X
just	346	
impart	326	X
type	319	
desirable	302	H
long-lasting	302	X
consumer	291	
intense	290	X
improved	290	
imparting	288	X
sandalwood	283	
characteristic	272	X
sensory	269	
oil	269	
notes	267	X
modifying	265	X
include	255	
aromatic	252	D
foot	251	
but	247	
perfuming	246	
flowery	243	D
apple	242	
like	240	
mask	240	M
enhance	239	
perceived	233	X
chemical	223	
bottom	221	T
solid	219	
bad	218	
musky	218	D
thereof	217	
powdery	216	
complex	215	X
fabric	212	
enhanced	211	
excellent	210	
similar	207	X
particularly	198	
individual	196	
fruit	196	
fatty	195	D
odorant	193	
lily	190	
main	190	
smell	183	
possessing	179	
rose-like	179	
flower	177	
slightly	176	
masking	176	M
enhancing	176	X
initial	175	
volatile	174	X
component	174	
typical	169	
metallic	165	
heart	164	T
earthy	163	
intensity	160	X
amber	160	
dry	158	
time	150	
tobacco	149	D
residual	146	
method	146	
oils	144	
minty	143	
slight	142	X
liquid	142	
vanilla	140	
aldehydic	139	D
test	138	M
evaluated	138	
powerful	137	X
possess	136	X
sweat	135	M
alter	135	
interesting	134	H
after	134	
watery	132	
organoleptic	132	
unique	131	
grapefruit	131	
creating	128	
pleasing	128	
forest	128	
woodland	124	
spruce	124	
components	124	
produce	124	
head	122	T
additional	122	
original	121	
clean	120	
retronasal	120	
balsamic	119	
profile	117	X
rosy	116	
animalic	116	
reducing	114	
offensive	114	
aldehyde	113	
improve	111	
addition	111	
control	111	
lemon	110	
accord	109	X
reduce	109	
malodor	109	
marine	109	
technical	109	X
leather	108	
combined	107	
soft	107	
freshening	107	
perspiration	106	
added	106	
tone	106	
synthetic	105	
own	105	
they	104	
ambery	104	D
well	103	
animal	101	
undesirable	101	
clear	100	
musk-like	100	
patchouli	100	
lasting	99	
only	99	
white	99	
warm	99	
rich	99	
essential	96	
odors	96	
violet	95	
structure	95	
musty	95	
selected	95	
mint-like	95	
inherent	94	
urine	94	M
distinct	93	
cosmetic	93	
acid	92	D
